,ba-m,simple-spread-chance,citizen-citizen-influence,citizen-media-influence,organizing-capacity,flint-organizing-strategy,threshold
325,3,0.05,0.01,0.5,5,high-degree-citizens,0
326,3,0.05,0.01,0.5,5,high-degree-media,30
327,3,0.05,0.01,0.5,5,neighbors-of-neighbors,0
328,3,0.05,0.01,0.75,1,high-degree-cit-and-media,0
329,3,0.05,0.01,0.75,1,high-degree-citizens,0
330,3,0.05,0.01,0.75,1,high-degree-media,22
331,3,0.05,0.01,0.75,1,neighbors-of-neighbors,0
332,3,0.05,0.01,0.75,5,high-degree-cit-and-media,18
333,3,0.05,0.01,0.75,5,high-degree-citizens,0
334,3,0.05,0.01,0.75,5,high-degree-media,30
335,3,0.05,0.01,0.75,5,neighbors-of-neighbors,0
336,3,0.05,0.05,0.01,1,high-degree-cit-and-media,0
337,3,0.05,0.05,0.01,1,high-degree-citizens,0
338,3,0.05,0.05,0.01,1,high-degree-media,0
339,3,0.05,0.05,0.01,1,neighbors-of-neighbors,0
340,3,0.05,0.05,0.01,5,high-degree-cit-and-media,0
341,3,0.05,0.05,0.01,5,high-degree-citizens,0
342,3,0.05,0.05,0.01,5,high-degree-media,0
343,3,0.05,0.05,0.01,5,neighbors-of-neighbors,0
344,3,0.05,0.05,0.05,1,high-degree-cit-and-media,0
345,3,0.05,0.05,0.05,1,high-degree-citizens,0
346,3,0.05,0.05,0.05,1,high-degree-media,0
347,3,0.05,0.05,0.05,1,neighbors-of-neighbors,0
348,3,0.05,0.05,0.05,5,high-degree-cit-and-media,0
349,3,0.05,0.05,0.05,5,high-degree-citizens,0
350,3,0.05,0.05,0.05,5,high-degree-media,0
351,3,0.05,0.05,0.05,5,neighbors-of-neighbors,0
352,3,0.05,0.05,0.1,1,high-degree-cit-and-media,0
353,3,0.05,0.05,0.1,1,high-degree-citizens,0
354,3,0.05,0.05,0.1,1,high-degree-media,0
355,3,0.05,0.05,0.1,1,neighbors-of-neighbors,0
356,3,0.05,0.05,0.1,5,high-degree-cit-and-media,0
357,3,0.05,0.05,0.1,5,high-degree-citizens,0
358,3,0.05,0.05,0.1,5,high-degree-media,0
359,3,0.05,0.05,0.1,5,neighbors-of-neighbors,0
360,3,0.05,0.05,0.25,1,high-degree-cit-and-media,0
361,3,0.05,0.05,0.25,1,high-degree-citizens,0
362,3,0.05,0.05,0.25,1,high-degree-media,0
363,3,0.05,0.05,0.25,1,neighbors-of-neighbors,0
364,3,0.05,0.05,0.25,5,high-degree-cit-and-media,1
365,3,0.05,0.05,0.25,5,high-degree-citizens,0
366,3,0.05,0.05,0.25,5,high-degree-media,5
367,3,0.05,0.05,0.25,5,neighbors-of-neighbors,0
368,3,0.05,0.05,0.5,1,high-degree-cit-and-media,4
369,3,0.05,0.05,0.5,1,high-degree-citizens,3
370,3,0.05,0.05,0.5,1,high-degree-media,10
371,3,0.05,0.05,0.5,1,neighbors-of-neighbors,3
372,3,0.05,0.05,0.5,5,high-degree-cit-and-media,21
373,3,0.05,0.05,0.5,5,high-degree-citizens,0
374,3,0.05,0.05,0.5,5,high-degree-media,30
375,3,0.05,0.05,0.5,5,neighbors-of-neighbors,4
376,3,0.05,0.05,0.75,1,high-degree-cit-and-media,16
377,3,0.05,0.05,0.75,1,high-degree-citizens,8
378,3,0.05,0.05,0.75,1,high-degree-media,25
379,3,0.05,0.05,0.75,1,neighbors-of-neighbors,10
380,3,0.05,0.05,0.75,5,high-degree-cit-and-media,30
381,3,0.05,0.05,0.75,5,high-degree-citizens,8
382,3,0.05,0.05,0.75,5,high-degree-media,30
383,3,0.05,0.05,0.75,5,neighbors-of-neighbors,13
384,3,0.05,0.1,0.01,1,high-degree-cit-and-media,0
385,3,0.05,0.1,0.01,1,high-degree-citizens,0
386,3,0.05,0.1,0.01,1,high-degree-media,0
387,3,0.05,0.1,0.01,1,neighbors-of-neighbors,0
388,3,0.05,0.1,0.01,5,high-degree-cit-and-media,0
389,3,0.05,0.1,0.01,5,high-degree-citizens,0
390,3,0.05,0.1,0.01,5,high-degree-media,0
391,3,0.05,0.1,0.01,5,neighbors-of-neighbors,0
392,3,0.05,0.1,0.05,1,high-degree-cit-and-media,0
393,3,0.05,0.1,0.05,1,high-degree-citizens,0
394,3,0.05,0.1,0.05,1,high-degree-media,0
395,3,0.05,0.1,0.05,1,neighbors-of-neighbors,0
396,3,0.05,0.1,0.05,5,high-degree-cit-and-media,0
397,3,0.05,0.1,0.05,5,high-degree-citizens,0
398,3,0.05,0.1,0.05,5,high-degree-media,0
399,3,0.05,0.1,0.05,5,neighbors-of-neighbors,0
400,3,0.05,0.1,0.1,1,high-degree-cit-and-media,0
401,3,0.05,0.1,0.1,1,high-degree-citizens,0
402,3,0.05,0.1,0.1,1,high-degree-media,0
403,3,0.05,0.1,0.1,1,neighbors-of-neighbors,0
404,3,0.05,0.1,0.1,5,high-degree-cit-and-media,0
405,3,0.05,0.1,0.1,5,high-degree-citizens,0
406,3,0.05,0.1,0.1,5,high-degree-media,0
407,3,0.05,0.1,0.1,5,neighbors-of-neighbors,0
408,3,0.05,0.1,0.25,1,high-degree-cit-and-media,2
409,3,0.05,0.1,0.25,1,high-degree-citizens,0
410,3,0.05,0.1,0.25,1,high-degree-media,2
411,3,0.05,0.1,0.25,1,neighbors-of-neighbors,2
412,3,0.05,0.1,0.25,5,high-degree-cit-and-media,2
413,3,0.05,0.1,0.25,5,high-degree-citizens,1
414,3,0.05,0.1,0.25,5,high-degree-media,12
415,3,0.05,0.1,0.25,5,neighbors-of-neighbors,0
416,3,0.05,0.1,0.5,1,high-degree-cit-and-media,15
417,3,0.05,0.1,0.5,1,high-degree-citizens,15
418,3,0.05,0.1,0.5,1,high-degree-media,24
419,3,0.05,0.1,0.5,1,neighbors-of-neighbors,17
420,3,0.05,0.1,0.5,5,high-degree-cit-and-media,27
421,3,0.05,0.1,0.5,5,high-degree-citizens,15
422,3,0.05,0.1,0.5,5,high-degree-media,30
423,3,0.05,0.1,0.5,5,neighbors-of-neighbors,20
424,3,0.05,0.1,0.75,1,high-degree-cit-and-media,25
425,3,0.05,0.1,0.75,1,high-degree-citizens,26
426,3,0.05,0.1,0.75,1,high-degree-media,29
427,3,0.05,0.1,0.75,1,neighbors-of-neighbors,21
428,3,0.05,0.1,0.75,5,high-degree-cit-and-media,30
429,3,0.05,0.1,0.75,5,high-degree-citizens,28
430,3,0.05,0.1,0.75,5,high-degree-media,30
431,3,0.05,0.1,0.75,5,neighbors-of-neighbors,27
432,3,0.05,0.25,0.01,1,high-degree-cit-and-media,0
433,3,0.05,0.25,0.01,1,high-degree-citizens,0
434,3,0.05,0.25,0.01,1,high-degree-media,0
435,3,0.05,0.25,0.01,1,neighbors-of-neighbors,0
436,3,0.05,0.25,0.01,5,high-degree-cit-and-media,0
437,3,0.05,0.25,0.01,5,high-degree-citizens,0
438,3,0.05,0.25,0.01,5,high-degree-media,0
439,3,0.05,0.25,0.01,5,neighbors-of-neighbors,0
440,3,0.05,0.25,0.05,1,high-degree-cit-and-media,0
441,3,0.05,0.25,0.05,1,high-degree-citizens,0
442,3,0.05,0.25,0.05,1,high-degree-media,0
443,3,0.05,0.25,0.05,1,neighbors-of-neighbors,0
444,3,0.05,0.25,0.05,5,high-degree-cit-and-media,0
445,3,0.05,0.25,0.05,5,high-degree-citizens,0
446,3,0.05,0.25,0.05,5,high-degree-media,0
447,3,0.05,0.25,0.05,5,neighbors-of-neighbors,0
448,3,0.05,0.25,0.1,1,high-degree-cit-and-media,0
449,3,0.05,0.25,0.1,1,high-degree-citizens,0
450,3,0.05,0.25,0.1,1,high-degree-media,0
451,3,0.05,0.25,0.1,1,neighbors-of-neighbors,0
452,3,0.05,0.25,0.1,5,high-degree-cit-and-media,0
453,3,0.05,0.25,0.1,5,high-degree-citizens,0
454,3,0.05,0.25,0.1,5,high-degree-media,0
455,3,0.05,0.25,0.1,5,neighbors-of-neighbors,0
